Name,Address,State,County,Phone,Email,Website,Category,Facility_Type,Feedstock,Latitude,Longitude,NAICS_Code,Hours,Accepts_Dropoff,Fee_Structure,Fee_Details,Offers_Payment,Payment_Details
"AirWay Technologies, Inc.","2350 Litton Lane Suite 200, Hebron, KY, United States",Kentucky,,,,www.airway.com,Electronics Recyclers,Electronics Recycler,Electronics,39.0790540022213,-84.7223989966894,562920,Mon-Fri: 9AM-6PM,Yes,Varies,"Some items may have fees (CRTs, large appliances)",No,
"All Green Electronics Recycling, LLC","7397 Doig Drive, Garden Grove, CA, United States",California,,,,https://allgreenrecycling.com/,Electronics Recyclers,Electronics Recycler,Electronics,33.7940410076613,-118.003425997684,562920,Mon-Fri: 8AM-6PM,Yes,Varies,"Some items may have fees (CRTs, large appliances)",No,
All In Metals,"1275 W. State St, Ontario, CA, United States",California,,,,,Electronics Recyclers,Electronics Recycler,Electronics,34.0590269975639,-117.674957987701,562920,"Mon-Fri: 9AM-5PM, Sat: 10AM-2PM",Yes,Varies,"Some items may have fees (CRTs, large appliances)",No,
"Allied Ecovery, Inc.","465 Clary Connector, Toccoa, GA, United States",Georgia,,,,,Electronics Recyclers,Electronics Recycler,Electronics,34.5333299806962,-83.2888840061095,562920,Mon-Fri: 8AM-6PM,Yes,Varies,"Some items may have fees (CRTs, large appliances)",No,
Alpha Surplus,"1980 Elm Court, Ontario, CA, United States",California,,,,www.alphasurplus.com,Electronics Recyclers,Electronics Recycler,Electronics,34.0468127571378,-117.606470799382,562920,Mon-Fri: 9AM-5PM,Yes,Varies,"Some items may have fees (CRTs, large appliances)",No,
Altech - DBA Altech Metals Inc. and Altechco,"4650 S. Pinemont Ste. 100, Houston, TX, United States",Texas,,,,www.altechco.com,Electronics Recyclers,Electronics Recycler,Electronics,29.8391090193015,-95.5154850313046,562920,"Mon-Fri: 8AM-5PM, Sat: 9AM-1PM",Yes,Varies,"Some items may have fees (CRTs, large appliances)",No,
"Altr-B Recycling, Inc.","2810 Mowery Rd., Houston, TX, United States",Texas,,,,www.altr-binc.com,Electronics Recyclers,Electronics Recycler,Electronics,29.6353429833591,-95.405303992054,562920,"Mon-Fri: 8AM-5PM, Sat: 9AM-1PM",Yes,Varies,"Some items may have fees (CRTs, large appliances)",No,
Alzubairielectric LLC,"5605 NW 74th Avenue, Doral, FL, United States",Florida,,,,www.zubairielectric.com,Electronics Recyclers,Electronics Recycler,Electronics,25.8249469827047,-80.3165570368602,562920,Mon-Fri: 8AM-5PM,Yes,Varies,"Some items may have fees (CRTs, large appliances)",No,
American Cellular Solutions,"29313 Clemens Rd., Suite 2L, Westlake, OH, United States",Ohio,,,,www.americancellularsolutions.com,Electronics Recyclers,Electronics Recycler,Electronics,41.4696789865707,-81.9466330213224,562920,Mon-Fri: 8AM-6PM,Yes,Varies,"Some items may have fees (CRTs, large appliances)",No,
American Cellular Technology,"2875 N Berkeley Lake Rd Unit 18, Duluth, GA, United States",Georgia,,,,,Electronics Recyclers,Electronics Recycler,Electronics,33.9730109851682,-84.1633910146371,562920,Mon-Fri: 9AM-5PM,Yes,Varies,"Some items may have fees (CRTs, large appliances)",No,
"American Ecycle, Inc.","1150 Turner Rd, Eastanollee, GA, United States",Georgia,,,,,Electronics Recyclers,Electronics Recycler,Electronics,34.5186010070697,-83.2689820152097,562920,"Mon-Fri: 8AM-5PM, Sat: 9AM-1PM",Yes,Varies,"Some items may have fees (CRTs, large appliances)",No,
American Greenz Inc,"1006-A Morrisville Parkway, Morrisville, NC, United States",North Carolina,,,,www.americangreenz.com,Electronics Recyclers,Electronics Recycler,Electronics,35.8100170063834,-78.8207530224792,562920,"Mon-Fri: 9AM-5PM, Sat: 10AM-2PM",Yes,Varies,"Some items may have fees (CRTs, large appliances)",No,
"American Retroworks, Inc. (dba Good Point Recycling)","227 Pond Lane, Middlebury, VT, United States",Vermont,,,,retroworks.net,Electronics Recyclers,Electronics Recycler,Electronics,44.0343740135591,-73.1759950300567,562920,"Mon-Fri: 9AM-5PM, Sat: 10AM-2PM",Yes,Varies,"Some items may have fees (CRTs, large appliances)",No,
"American Retroworks, Inc. dba Good Point Recycling","175 E Ashland St, Brockton, MA, United States",Massachusetts,,,,retroworks.net,Electronics Recyclers,Electronics Recycler,Electronics,42.0950063048374,-71.0109296585484,562920,Mon-Fri: 9AM-5PM,Yes,Varies,"Some items may have fees (CRTs, large appliances)",No,
"American Secure Technologies Co.,","8340 S. Madison St, Suite 10, Burr Ridge, IL, United States",Illinois,,,,www.astr2.com,Electronics Recyclers,Electronics Recycler,Electronics,41.7371252181977,-87.9345657942134,562920,"Mon-Fri: 8AM-5PM, Sat: 9AM-1PM",Yes,Varies,"Some items may have fees (CRTs, large appliances)",No,
"American Union Ventures, INC. DBA: American Recycling","5001 South 16th St., Lincoln, NE, United States",Nebraska,,,,www.americanrecyclingne.com,Electronics Recyclers,Electronics Recycler,Electronics,40.7633520154113,-96.7000239699613,562920,Mon-Fri: 8AM-5PM,Yes,Varies,"Some items may have fees (CRTs, large appliances)",No,
"AnythingIT, Inc.","2075 91st St, Unit B, North Bergen, NJ, 07047",New Jersey,,(877) 766-3050,sales@anythingit.com,http://www.anythingit.com/,Electronics Recyclers,Electronics Recycler,Electronics,40.8141080014474,-74.0134919965702,562920,Mon-Fri: 8AM-6PM,Yes,Varies,"Some items may have fees (CRTs, large appliances)",No,
Apex Technology Solutions,"7960 Kentucky Drive, Suites 4 & 5, Florence, Ky, United States",,,,,www.apexitad.com,Electronics Recyclers,Electronics Recycler,Electronics,38.9829059871766,-84.6296320318382,562920,"Mon-Fri: 8AM-5PM, Sat: 9AM-1PM",Yes,Varies,"Some items may have fees (CRTs, large appliances)",No,
Apto Solutions,"1910 MacArthur Blvd., Atlanta, GA, 30318",Georgia,,(855) 275-2786,info@AptoSolutions.com,http://www.aptosolutions.com/,Electronics Recyclers,Electronics Recycler,Electronics,33.8113150204586,-84.4508600348843,562920,Mon-Fri: 8AM-6PM,Yes,Varies,"Some items may have fees (CRTs, large appliances)",No,
Apto Solutions,"1971 Davis Street, San Leandro, CA, 94577",California,,(855) 275-2786,info@AptoSolutions.com,http://www.aptosolutions.com/,Electronics Recyclers,Electronics Recycler,Electronics,37.7161749860813,-122.182928995314,562920,"Mon-Fri: 9AM-5PM, Sat: 10AM-2PM",Yes,Varies,"Some items may have fees (CRTs, large appliances)",No,
Apto Solutions,"3815-A Jarret Way #180, Austin, TX, 78728",Texas,,(855) 275-2786,info@AptoSolutions.com,http://www.aptosolutions.com/,Electronics Recyclers,Electronics Recycler,Electronics,30.4733929878442,-97.6790730085592,562920,Mon-Fri: 9AM-5PM,Yes,Varies,"Some items may have fees (CRTs, large appliances)",No,
"ARA Global Group, Inc.","2315 NW 107th Ave, Doral, FL, United States",Florida,,,,araglobalgroup.com,Electronics Recyclers,Electronics Recycler,Electronics,25.7953715010697,-80.368858982091,562920,Mon-Fri: 9AM-6PM,Yes,Varies,"Some items may have fees (CRTs, large appliances)",No,
"Aransas Pass Precious Metal Recovery, LLC","2082 FM 2725, Ingleside, TX, United States",Texas,,,,,Electronics Recyclers,Electronics Recycler,Electronics,27.8716359929516,-97.1708900375156,562920,"Mon-Fri: 9AM-5PM, Sat: 10AM-2PM",Yes,Varies,"Some items may have fees (CRTs, large appliances)",No,
Argus Partners LLC,"1111 W. Carrier Pkwy. #300, Grand Prairie, TX, United States",Texas,,,,www.argusx.com,Electronics Recyclers,Electronics Recycler,Electronics,32.7858550067925,-97.0476909806243,562920,Mon-Fri: 8AM-6PM,Yes,Varies,"Some items may have fees (CRTs, large appliances)",No,
"Arrow Recovery Group, Inc","46025 Warm Springs Boulevard, Fremont, CA, United States",California,,,,www.arrowrecovery.com,Electronics Recyclers,Electronics Recycler,Electronics,37.4933200038472,-121.933619008369,562920,Mon-Fri: 8AM-6PM,Yes,Varies,"Some items may have fees (CRTs, large appliances)",No,
Arrow Scrap Corp.,"83 Kean Street, West Babylon, NY, United States",New York,,,,www.arrowscrap.com,Electronics Recyclers,Electronics Recycler,Electronics,40.7374339554167,-73.3797052006142,562920,Mon-Fri: 8AM-6PM,Yes,Varies,"Some items may have fees (CRTs, large appliances)",No,
Arrow Scrap Corporation,"1120 Lincoln Avenue, Holbrook, NY, United States",New York,,,,www.arrowscrap.com,Electronics Recyclers,Electronics Recycler,Electronics,40.776262820946,-73.0837510420022,562920,"Mon-Fri: 9AM-5PM, Sat: 10AM-2PM",Yes,Varies,"Some items may have fees (CRTs, large appliances)",No,
Asset Cellutions – CT Cellutions – Cell Phones for Soldiers,"5705 Commerce Blvd., Alpharetta, GA, United States",Georgia,,,,www.cellphonesforsoldiers.com,Electronics Recyclers,Electronics Recycler,Electronics,34.1493644258704,-84.2466954813556,562920,Mon-Fri: 9AM-6PM,Yes,Varies,"Some items may have fees (CRTs, large appliances)",No,
Asset LifeCycle LLC,"126 Nichols Rd, Osage City, KS, United States",Kansas,,,,www.assetlc.com,Electronics Recyclers,Electronics Recycler,Electronics,38.6336819960893,-95.8036390206793,562920,Mon-Fri: 8AM-5PM,Yes,Varies,"Some items may have fees (CRTs, large appliances)",No,
Asset LifeCycle LLC,"7215 SW Topeka Blvd. Bldg. #1, Topeka, KS, United States",Kansas,,,,www.assetlc.com,Electronics Recyclers,Electronics Recycler,Electronics,38.9440629905761,-95.6901099978434,562920,"Mon-Fri: 8AM-5PM, Sat: 9AM-1PM",Yes,Varies,"Some items may have fees (CRTs, large appliances)",No,
Asset Management & Disposal d/b/a RetirePC,"2747 Oakland Ave, Garland, TX, United States",Texas,,,,retirepc.com,Electronics Recyclers,Electronics Recycler,Electronics,32.8768329801396,-96.6703660304986,562920,Mon-Fri: 8AM-5PM,Yes,Varies,"Some items may have fees (CRTs, large appliances)",No,
"Asset Recycling & Recovery, LLCX","396 Cross Plains Blvd,, Dalton, GA, United States",Georgia,,,,https://ailsold.com/,Electronics Recyclers,Electronics Recycler,Electronics,34.6750209828257,-84.9646280356518,562920,"Mon-Fri: 8AM-5PM, Sat: 9AM-1PM",Yes,Varies,"Some items may have fees (CRTs, large appliances)",No,
"Asset Recycling Company of America, LLC dba ARCOA","57 Noll Street, Suite B, Waukegan, IL, United States",Illinois,,,,www.thinkarcoa.com,Electronics Recyclers,Electronics Recycler,Electronics,42.3612826468244,-87.8827936611524,562920,"Mon-Fri: 8AM-5PM, Sat: 9AM-1PM",Yes,Varies,"Some items may have fees (CRTs, large appliances)",No,
Asset Technology Solution,"2430 January Ln, Grand Prairie, TX, United States",Texas,,,,https://atechsolution.com/,Electronics Recyclers,Electronics Recycler,Electronics,32.75115099398,-97.0386169837036,562920,Mon-Fri: 9AM-6PM,Yes,Varies,"Some items may have fees (CRTs, large appliances)",No,
"AssetGenie, Inc","220 Huff Ave Suites 100-500, Greensburg, PA, United States",Pennsylvania,,,,www.agigrouponline.com,Electronics Recyclers,Electronics Recycler,Electronics,40.2800239856728,-79.5477149819712,562920,"Mon-Fri: 9AM-5PM, Sat: 10AM-2PM",Yes,Varies,"Some items may have fees (CRTs, large appliances)",No,
"Atlanta Recycling Solutions,LLC","1280 Old Alpharetta Road, Alpharetta, GA, United States",Georgia,,,,www.atlantarecyclingsolutions.com,Electronics Recyclers,Electronics Recycler,Electronics,34.1001277016942,-84.2122937199716,562920,Mon-Fri: 8AM-5PM,Yes,Varies,"Some items may have fees (CRTs, large appliances)",No,
ATX Global Trading,"4125 Felter Lane, Austin, TX, United States",Texas,,,,www.atxglobaltrading.com,Electronics Recyclers,Electronics Recycler,Electronics,30.196349001581,-97.7051249694568,562920,Mon-Fri: 8AM-6PM,Yes,Varies,"Some items may have fees (CRTs, large appliances)",No,
Aucnet Digital Products USA LLC,"8619 Wall St. Suite 620, Austin, TX, United States",Texas,,,,www.aucnetusa.com,Electronics Recyclers,Electronics Recycler,Electronics,30.3395389813649,-97.6702130016266,562920,Mon-Fri: 9AM-6PM,Yes,Varies,"Some items may have fees (CRTs, large appliances)",No,
Auctronics LLC,"3541 W Holland Ave, Fresno, CA, United States",California,,,,,Electronics Recyclers,Electronics Recycler,Electronics,36.7972049986931,-119.856089036845,562920,Mon-Fri: 9AM-6PM,Yes,Varies,"Some items may have fees (CRTs, large appliances)",No,
Auditmacs,"4301 Emerson St, Jacksonville, FL, United States",Florida,,,,auditmacstech.com,Electronics Recyclers,Electronics Recycler,Electronics,30.2914610133933,-81.6203390255665,562920,Mon-Fri: 9AM-6PM,Yes,Varies,"Some items may have fees (CRTs, large appliances)",No,
"Avail Recovery Solutions, LLC","120 E Corporate Pl, Suite 1 & 2, Chandler, AZ, United States",Arizona,,,,www.availrecovery.com,Electronics Recyclers,Electronics Recycler,Electronics,33.3422399979748,-111.839091010317,562920,"Mon-Fri: 8AM-5PM, Sat: 9AM-1PM",Yes,Varies,"Some items may have fees (CRTs, large appliances)",No,
Azing Electronics,"21590 Alexander Road, Oakwood Village, OH, United States",Ohio,,,,www.azingelectronics.com,Electronics Recyclers,Electronics Recycler,Electronics,41.3586349884787,-81.517974027208,562920,Mon-Fri: 9AM-5PM,Yes,Varies,"Some items may have fees (CRTs, large appliances)",No,
B&K Technology Solutions dba Advanced Technology Recycling,"103D Shades Creek Circle, Birmingham, AL, United States",Alabama,,,,www.atrecycle.com,Electronics Recyclers,Electronics Recycler,Electronics,33.4297610421447,-86.8476768617816,562920,"Mon-Fri: 8AM-5PM, Sat: 9AM-1PM",Yes,Varies,"Some items may have fees (CRTs, large appliances)",No,
B&K Technology Solutions dba Advanced Technology Recycling,"1130 S. 3800 W. Suite 200, Salt Lake City, UT, United States",Utah,,,,www.ATRecycle.Com,Electronics Recyclers,Electronics Recycler,Electronics,40.7448130057868,-111.983818985514,562920,"Mon-Fri: 9AM-5PM, Sat: 10AM-2PM",Yes,Varies,"Some items may have fees (CRTs, large appliances)",No,
B&K Technology Solutions DBA Advanced Technology Recycling,"200 Fire Tower Drive, Tonawanda, NY, United States",New York,,,,www.ATRecycle.com,Electronics Recyclers,Electronics Recycler,Electronics,42.9915041583551,-78.9087928453967,562920,Mon-Fri: 8AM-5PM,Yes,Varies,"Some items may have fees (CRTs, large appliances)",No,
B&K Technology Solutions DBA Advanced Technology Recycling,"355 Cottage Grove Street SE, Grand Rapids, MI, United States",Michigan,,,,http://www.ATRecycle.Com,Electronics Recyclers,Electronics Recycler,Electronics,42.936270014819,-85.6605089761599,562920,Mon-Fri: 9AM-6PM,Yes,Varies,"Some items may have fees (CRTs, large appliances)",No,
B&K Technology Solutions DBA Advanced Technology Recycling,"4120 W. Windmill Ln. Suite 105, Las Vegas, NV, United States",Nevada,,,,www.ATRecycle.com,Electronics Recyclers,Electronics Recycler,Electronics,36.0445600077718,-115.193866032732,562920,Mon-Fri: 8AM-5PM,Yes,Varies,"Some items may have fees (CRTs, large appliances)",No,
B&K Technology Solutions DBA Advanced Technology Recycling,"601 E. Prairie Street, Pontiac, IL, United States",Illinois,,,,http://www.ATRecycle.Com,Electronics Recyclers,Electronics Recycler,Electronics,40.8832900090531,-88.6223800241119,562920,"Mon-Fri: 9AM-5PM, Sat: 10AM-2PM",Yes,Varies,"Some items may have fees (CRTs, large appliances)",No,
B&K Technology Solutions dbA Advanced Technology Recycling,"8559 NE  Loop 410, Suite B-144, San Antonio, TX, United States",Texas,,,,www.ATRecycle.com,Electronics Recyclers,Electronics Recycler,Electronics,29.4386850108574,-98.3933219678669,562920,"Mon-Fri: 9AM-5PM, Sat: 10AM-2PM",Yes,Varies,"Some items may have fees (CRTs, large appliances)",No,
B&K Technology Solutions DBA Advanced Technology Recycling,"902 N. Hazel St., Pontiac, IL, United States",Illinois,,,,www.ATRecycle.com,Electronics Recyclers,Electronics Recycler,Electronics,40.8863760162547,-88.6233529954326,562920,Mon-Fri: 9AM-6PM,Yes,Varies,"Some items may have fees (CRTs, large appliances)",No,
"Back Thru The Future Computer Recycling, Inc.","1 Park Dr, Suite 9, Franklin, NJ, United States",New Jersey,,,,backthruthefuture.com,Electronics Recyclers,Electronics Recycler,Electronics,41.1277729836887,-74.5995130085383,562920,Mon-Fri: 9AM-6PM,Yes,Varies,"Some items may have fees (CRTs, large appliances)",No,
"Bass Computers, Inc.-Tarpon Technology, Inc.","10558 Bissonnet Street, Houston, TX, United States",Texas,,,,www.basscomputerrecycling.com,Electronics Recyclers,Electronics Recycler,Electronics,29.6745212085279,-95.5639287869462,562920,Mon-Fri: 8AM-5PM,Yes,Varies,"Some items may have fees (CRTs, large appliances)",No,
Battery Buyers dBA My Battery Recyclers,"95 Union Street, Brooklyn, NY, United States",New York,,,,www.mybrs.com,Electronics Recyclers,Electronics Recycler,Electronics,40.6847780014783,-74.003946685234,562920,Mon-Fri: 8AM-5PM,Yes,Varies,"Some items may have fees (CRTs, large appliances)",No,
"Battery Recycling Made Easy, LLC","420 S. River Street, Calhoun, GA, United States",Georgia,,,,www.batteryrecyclingmadeeasy.com,Electronics Recyclers,Electronics Recycler,Electronics,34.4960816722264,-84.9552208433864,562920,Mon-Fri: 8AM-6PM,Yes,Varies,"Some items may have fees (CRTs, large appliances)",No,
Battery Solutions LLC,"4930 Holtz Drive, Wixom, MI, United States",Michigan,,,,www.batterysolutions.com,Electronics Recyclers,Electronics Recycler,Electronics,42.5246269966126,-83.5658830234622,562920,Mon-Fri: 8AM-6PM,Yes,Varies,"Some items may have fees (CRTs, large appliances)",No,
Battery Solutions LLC,"618 E Auto Center Dr, Suite 111, Mesa, AZ, United States",Arizona,,,,www.batterysolutions.com,Electronics Recyclers,Electronics Recycler,Electronics,33.3846010050666,-111.816664976914,562920,Mon-Fri: 9AM-5PM,Yes,Varies,"Some items may have fees (CRTs, large appliances)",No,
Bayshine Trading Inc,"2075 Northwest 94th St, Clive, IA, United States",Iowa,,,,,Electronics Recyclers,Electronics Recycler,Electronics,41.6122049938944,-93.7467349850324,562920,Mon-Fri: 8AM-5PM,Yes,Varies,"Some items may have fees (CRTs, large appliances)",No,
"BC Recycling, LLC","220 Stephens Dr, Suite C, Nicholasville, KY, United States",Kentucky,,,,,Electronics Recyclers,Electronics Recycler,Electronics,37.8839350062814,-84.5813009723002,562920,Mon-Fri: 8AM-6PM,Yes,Varies,"Some items may have fees (CRTs, large appliances)",No,
BCS Recycling Specialists,"8735 and 8745 Remmet Avenue, Canoga Park, CA, United States",California,,,,www.scrapdr.com,Electronics Recyclers,Electronics Recycler,Electronics,34.2295199792038,-118.600566023309,562920,Mon-Fri: 9AM-5PM,Yes,Varies,"Some items may have fees (CRTs, large appliances)",No,
"BCS Recycling Specialists ITAD Services, Inc.","27766 Hancock Parkway, Valencia, CA, United States",California,,,,www.scrapdr.com,Electronics Recyclers,Electronics Recycler,Electronics,34.4355570079925,-118.619468975169,562920,"Mon-Fri: 8AM-5PM, Sat: 9AM-1PM",Yes,Varies,"Some items may have fees (CRTs, large appliances)",No,
"Beacon Management, Inc.","6025 Scott Way, Commerce, CA, United States",California,,,,www.bmionline.us,Electronics Recyclers,Electronics Recycler,Electronics,33.9804520197122,-118.150793015096,562920,Mon-Fri: 9AM-6PM,Yes,Varies,"Some items may have fees (CRTs, large appliances)",No,
"Beintek, LLC, a subsidiary of Invictus Globe, LLC","2150 Northmont Parkway, STE P, Duluth, GA, United States",Georgia,,,,www.invictusglobe.com,Electronics Recyclers,Electronics Recycler,Electronics,33.9720290033017,-84.1147499923197,562920,Mon-Fri: 8AM-5PM,Yes,Varies,"Some items may have fees (CRTs, large appliances)",No,
Belmont Trading Company,"900 Corporate Grove Drive, Buffalo Grove, IL, United States",Illinois,,,,www.belmont-trading.com,Electronics Recyclers,Electronics Recycler,Electronics,42.1747036195243,-87.93825361316,562920,Mon-Fri: 9AM-6PM,Yes,Varies,"Some items may have fees (CRTs, large appliances)",No,
"Big Data Supply, Inc.","1736 East Borchard Ave., Santa Ana, CA, United States",California,,,,https://bigdatasupplyinc.com/,Electronics Recyclers,Electronics Recycler,Electronics,33.7288160127257,-117.843485035861,562920,Mon-Fri: 8AM-6PM,Yes,Varies,"Some items may have fees (CRTs, large appliances)",No,
Bionew USA Corp.,"4544 Atwater Ct. Ste 110, Buford, GA, United States",Georgia,,,,bionewusa.co,Electronics Recyclers,Electronics Recycler,Electronics,34.1016400065747,-84.0136970132653,562920,"Mon-Fri: 9AM-5PM, Sat: 10AM-2PM",Yes,Varies,"Some items may have fees (CRTs, large appliances)",No,
Blind Center of Nevada,"1001 N. Bruce St., Las Vegas, NV, United States",Nevada,,,,http://blindcenter.org/electronic-recycling,Electronics Recyclers,Electronics Recycler,Electronics,36.1826360207902,-115.125599035586,562920,"Mon-Fri: 8AM-5PM, Sat: 9AM-1PM",Yes,Varies,"Some items may have fees (CRTs, large appliances)",No,
