Name,Category,Address,City,State,Zip,Phone,Email,Website,Latitude,Longitude,Materials_Accepted,Notes
Best Buy - Electronics Recycling,Retail Take-Back Program,"9900 SE Washington St, Portland, OR 97216",Portland,OR,97216,(503) 253-1900,,https://www.bestbuy.com/site/services/recycling/pcmcat149900050025.c,45.5165,-122.5567,"Electronics, TVs, computers, cell phones, appliances, batteries, cables, ink cartridges",Free recycling at all US stores. Limit 3 items per household per day.
Best Buy - Electronics Recycling,Retail Take-Back Program,"5555 Whittlesey Blvd, Columbus, GA 31909",Columbus,GA,31909,(706) 494-0700,,https://www.bestbuy.com/site/services/recycling/pcmcat149900050025.c,32.5102,-84.9396,"Electronics, TVs, computers, cell phones, appliances, batteries, cables, ink cartridges",Free recycling at all US stores. Limit 3 items per household per day.
Best Buy - Electronics Recycling,Retail Take-Back Program,"2795 Richmond Ave, Staten Island, NY 10314",Staten Island,NY,10314,(718) 698-7546,,https://www.bestbuy.com/site/services/recycling/pcmcat149900050025.c,40.5803,-74.1691,"Electronics, TVs, computers, cell phones, appliances, batteries, cables, ink cartridges",Free recycling at all US stores. Limit 3 items per household per day.
Best Buy - Electronics Recycling,Retail Take-Back Program,"8871 SW 107th Ave, Miami, FL 33176",Miami,FL,33176,(305) 271-0010,,https://www.bestbuy.com/site/services/recycling/pcmcat149900050025.c,25.6799,-80.3676,"Electronics, TVs, computers, cell phones, appliances, batteries, cables, ink cartridges",Free recycling at all US stores. Limit 3 items per household per day.
Staples - Office & Tech Recycling,Retail Take-Back Program,"699 Market St, San Francisco, CA 94103",San Francisco,CA,94103,(415) 882-0091,,https://www.staples.com/stores/recycling,37.787,-122.4037,"Electronics, ink & toner cartridges, batteries, small electronics, office equipment",Free recycling at all US stores.
Staples - Office & Tech Recycling,Retail Take-Back Program,"1 Union Square W, New York, NY 10003",New York,NY,10003,(212) 929-6323,,https://www.staples.com/stores/recycling,40.7359,-73.9911,"Electronics, ink & toner cartridges, batteries, small electronics, office equipment",Free recycling at all US stores.
Staples - Office & Tech Recycling,Retail Take-Back Program,"575 5th Ave, New York, NY 10017",New York,NY,10017,(212) 986-2222,,https://www.staples.com/stores/recycling,40.7566,-73.9789,"Electronics, ink & toner cartridges, batteries, small electronics, office equipment",Free recycling at all US stores.
Staples - Office & Tech Recycling,Retail Take-Back Program,"1075 Avenue of the Americas, New York, NY 10018",New York,NY,10018,(212) 944-6744,,https://www.staples.com/stores/recycling,40.7535,-73.985,"Electronics, ink & toner cartridges, batteries, small electronics, office equipment",Free recycling at all US stores.
Staples - Office & Tech Recycling,Retail Take-Back Program,"205 E 42nd St, New York, NY 10017",New York,NY,10017,(212) 557-8552,,https://www.staples.com/stores/recycling,40.7511,-73.9745,"Electronics, ink & toner cartridges, batteries, small electronics, office equipment",Free recycling at all US stores.
Staples - Office & Tech Recycling,Retail Take-Back Program,"1440 N Dayton St, Chicago, IL 60642",Chicago,IL,60642,(312) 266-2200,,https://www.staples.com/stores/recycling,41.9085,-87.6498,"Electronics, ink & toner cartridges, batteries, small electronics, office equipment",Free recycling at all US stores.
Staples - Office & Tech Recycling,Retail Take-Back Program,"225 W Washington St, Chicago, IL 60606",Chicago,IL,60606,(312) 346-9696,,https://www.staples.com/stores/recycling,41.8832,-87.6345,"Electronics, ink & toner cartridges, batteries, small electronics, office equipment",Free recycling at all US stores.
Staples - Office & Tech Recycling,Retail Take-Back Program,"2200 S Dairy Ashford Rd, Houston, TX 77077",Houston,TX,77077,(281) 679-9700,,https://www.staples.com/stores/recycling,29.7374,-95.5909,"Electronics, ink & toner cartridges, batteries, small electronics, office equipment",Free recycling at all US stores.
Staples - Office & Tech Recycling,Retail Take-Back Program,"9503 Research Blvd, Austin, TX 78759",Austin,TX,78759,(512) 343-0084,,https://www.staples.com/stores/recycling,30.387,-97.7476,"Electronics, ink & toner cartridges, batteries, small electronics, office equipment",Free recycling at all US stores.
Staples - Office & Tech Recycling,Retail Take-Back Program,"2201 S Clark St, Arlington, VA 22202",Arlington,VA,22202,(703) 415-3000,,https://www.staples.com/stores/recycling,38.8577,-77.0517,"Electronics, ink & toner cartridges, batteries, small electronics, office equipment",Free recycling at all US stores.
Staples - Office & Tech Recycling,Retail Take-Back Program,"3301 M St NW, Washington, DC 20007",Washington,DC,20007,(202) 333-7676,,https://www.staples.com/stores/recycling,38.905,-77.0619,"Electronics, ink & toner cartridges, batteries, small electronics, office equipment",Free recycling at all US stores.
Staples - Office & Tech Recycling,Retail Take-Back Program,"1401 NW 17th Ave, Miami, FL 33125",Miami,FL,33125,(305) 324-8500,,https://www.staples.com/stores/recycling,25.789,-80.2216,"Electronics, ink & toner cartridges, batteries, small electronics, office equipment",Free recycling at all US stores.
Staples - Office & Tech Recycling,Retail Take-Back Program,"8390 SW 8th St, Miami, FL 33144",Miami,FL,33144,(305) 262-3100,,https://www.staples.com/stores/recycling,25.7655,-80.3353,"Electronics, ink & toner cartridges, batteries, small electronics, office equipment",Free recycling at all US stores.
Staples - Office & Tech Recycling,Retail Take-Back Program,"7310 N Kendall Dr, Miami, FL 33156",Miami,FL,33156,(305) 670-5500,,https://www.staples.com/stores/recycling,25.6866,-80.3148,"Electronics, ink & toner cartridges, batteries, small electronics, office equipment",Free recycling at all US stores.
Staples - Office & Tech Recycling,Retail Take-Back Program,"4810 E Ray Rd, Phoenix, AZ 85044",Phoenix,AZ,85044,(480) 753-0044,,https://www.staples.com/stores/recycling,33.3195,-111.974,"Electronics, ink & toner cartridges, batteries, small electronics, office equipment",Free recycling at all US stores.
Staples - Office & Tech Recycling,Retail Take-Back Program,"4555 E Cactus Rd, Phoenix, AZ 85032",Phoenix,AZ,85032,(602) 494-0500,,https://www.staples.com/stores/recycling,33.5965,-111.9857,"Electronics, ink & toner cartridges, batteries, small electronics, office equipment",Free recycling at all US stores.
Staples - Office & Tech Recycling,Retail Take-Back Program,"1600 7th Ave, Seattle, WA 98101",Seattle,WA,98101,(206) 652-9100,,https://www.staples.com/stores/recycling,47.6137,-122.3347,"Electronics, ink & toner cartridges, batteries, small electronics, office equipment",Free recycling at all US stores.
Staples - Office & Tech Recycling,Retail Take-Back Program,"401 NE Northgate Way, Seattle, WA 98125",Seattle,WA,98125,(206) 365-1700,,https://www.staples.com/stores/recycling,47.708,-122.3257,"Electronics, ink & toner cartridges, batteries, small electronics, office equipment",Free recycling at all US stores.
Staples - Office & Tech Recycling,Retail Take-Back Program,"10200 SW Washington Square Rd, Portland, OR 97223",Portland,OR,97223,(503) 620-0600,,https://www.staples.com/stores/recycling,45.4505,-122.7805,"Electronics, ink & toner cartridges, batteries, small electronics, office equipment",Free recycling at all US stores.
Staples - Office & Tech Recycling,Retail Take-Back Program,"1130 NW Couch St, Portland, OR 97209",Portland,OR,97209,(503) 226-0500,,https://www.staples.com/stores/recycling,45.524,-122.6815,"Electronics, ink & toner cartridges, batteries, small electronics, office equipment",Free recycling at all US stores.
Home Depot - Battery & CFL Recycling,Retail Take-Back Program,"2 Bryant St, San Francisco, CA 94107",San Francisco,CA,94107,(415) 495-7600,,https://www.homedepot.com/c/electronics_recycling_programs,37.7847,-122.3923,"Rechargeable batteries, CFLs, lead-acid batteries",Battery recycling available at all stores through Call2Recycle program.
Home Depot - Battery & CFL Recycling,Retail Take-Back Program,"40 W 23rd St, New York, NY 10010",New York,NY,10010,(212) 929-9571,,https://www.homedepot.com/c/electronics_recycling_programs,40.742,-73.992,"Rechargeable batteries, CFLs, lead-acid batteries",Battery recycling available at all stores through Call2Recycle program.
Home Depot - Battery & CFL Recycling,Retail Take-Back Program,"980 3rd Ave, New York, NY 10022",New York,NY,10022,(212) 888-1512,,https://www.homedepot.com/c/electronics_recycling_programs,40.758,-73.9687,"Rechargeable batteries, CFLs, lead-acid batteries",Battery recycling available at all stores through Call2Recycle program.
Home Depot - Battery & CFL Recycling,Retail Take-Back Program,"1122 W North Ave, Chicago, IL 60642",Chicago,IL,60642,(312) 573-4700,,https://www.homedepot.com/c/electronics_recycling_programs,41.9103,-87.6557,"Rechargeable batteries, CFLs, lead-acid batteries",Battery recycling available at all stores through Call2Recycle program.
Home Depot - Battery & CFL Recycling,Retail Take-Back Program,"2570 N Elston Ave, Chicago, IL 60647",Chicago,IL,60647,(773) 486-9200,,https://www.homedepot.com/c/electronics_recycling_programs,41.927,-87.669,"Rechargeable batteries, CFLs, lead-acid batteries",Battery recycling available at all stores through Call2Recycle program.
Home Depot - Battery & CFL Recycling,Retail Take-Back Program,"701 S Lamar Blvd, Austin, TX 78704",Austin,TX,78704,(512) 443-9400,,https://www.homedepot.com/c/electronics_recycling_programs,30.254,-97.7624,"Rechargeable batteries, CFLs, lead-acid batteries",Battery recycling available at all stores through Call2Recycle program.
Home Depot - Battery & CFL Recycling,Retail Take-Back Program,"9600 Research Blvd, Austin, TX 78759",Austin,TX,78759,(512) 345-2400,,https://www.homedepot.com/c/electronics_recycling_programs,30.3888,-97.748,"Rechargeable batteries, CFLs, lead-acid batteries",Battery recycling available at all stores through Call2Recycle program.
Home Depot - Battery & CFL Recycling,Retail Take-Back Program,"5445 S Kirkman Rd, Orlando, FL 32819",Orlando,FL,32819,(407) 352-2550,,https://www.homedepot.com/c/electronics_recycling_programs,28.481,-81.4408,"Rechargeable batteries, CFLs, lead-acid batteries",Battery recycling available at all stores through Call2Recycle program.
Home Depot - Battery & CFL Recycling,Retail Take-Back Program,"8855 SW 107th Ave, Miami, FL 33176",Miami,FL,33176,(305) 271-7500,,https://www.homedepot.com/c/electronics_recycling_programs,25.68,-80.368,"Rechargeable batteries, CFLs, lead-acid batteries",Battery recycling available at all stores through Call2Recycle program.
Home Depot - Battery & CFL Recycling,Retail Take-Back Program,"3838 E Thomas Rd, Phoenix, AZ 85018",Phoenix,AZ,85018,(602) 952-0400,,https://www.homedepot.com/c/electronics_recycling_programs,33.4803,-111.9765,"Rechargeable batteries, CFLs, lead-acid batteries",Battery recycling available at all stores through Call2Recycle program.
Home Depot - Battery & CFL Recycling,Retail Take-Back Program,"2435 S Colorado Blvd, Denver, CO 80222",Denver,CO,80222,(303) 691-0200,,https://www.homedepot.com/c/electronics_recycling_programs,39.6735,-104.94,"Rechargeable batteries, CFLs, lead-acid batteries",Battery recycling available at all stores through Call2Recycle program.
Home Depot - Battery & CFL Recycling,Retail Take-Back Program,"1055 Dexter Ave N, Seattle, WA 98109",Seattle,WA,98109,(206) 621-9200,,https://www.homedepot.com/c/electronics_recycling_programs,47.634,-122.343,"Rechargeable batteries, CFLs, lead-acid batteries",Battery recycling available at all stores through Call2Recycle program.
Home Depot - Battery & CFL Recycling,Retail Take-Back Program,"1155 NW 167th St, Miami, FL 33169",Miami,FL,33169,(305) 620-5800,,https://www.homedepot.com/c/electronics_recycling_programs,25.931,-80.215,"Rechargeable batteries, CFLs, lead-acid batteries",Battery recycling available at all stores through Call2Recycle program.
Home Depot - Battery & CFL Recycling,Retail Take-Back Program,"1200 N Lamar Blvd, Austin, TX 78703",Austin,TX,78703,(512) 476-1500,,https://www.homedepot.com/c/electronics_recycling_programs,30.278,-97.754,"Rechargeable batteries, CFLs, lead-acid batteries",Battery recycling available at all stores through Call2Recycle program.
Home Depot - Battery & CFL Recycling,Retail Take-Back Program,"4040 E Camelback Rd, Phoenix, AZ 85018",Phoenix,AZ,85018,(602) 952-0600,,https://www.homedepot.com/c/electronics_recycling_programs,33.5095,-111.978,"Rechargeable batteries, CFLs, lead-acid batteries",Battery recycling available at all stores through Call2Recycle program.
